t[s],x[m],h[m],V[m/s],vx[m/s],vz[m/s],pitch[rad],gamma[rad],T[N],D[N],m[kg],g[m/s2],q[Pa]
0.1,0.0,-0.0980665,0.980665,0.0,-0.980665,1.5707963267948966,1.5707963267948966,0,0.0,150.0,9.80665,0.0
0.2,-4.737148482915237e-22,0.0,1.961407363505726,-4.737148482915237e-21,-1.961407363505726,1.5707963267948966,-1.5707963267948966,0,0.115658441060542,149.5,9.80665,0.5890516263958576
